UE05	4
VT01	4
VT02	4
VT03	4
VT04	4
VT05	4
VT06	4
VT07	4
WYA01	4
WYA05	4
FH05	2
HH04	2
HH08	2
HH10	2
HH16	2
HH25	2
HH26	2
HH33	2
HH35	2
JC02	2
JC03	2
JC04	2
JC05	2
JC06	2
JC07	2
JC08	2
JC09	2
KU01	2
KU12	2
KU15	2
KU23	2
KU30	2
KU35	2
KU39	2
KU40	2
KU44	2
KU59	2
KU60	2
KU62	2
KU69	2
KU84	2
KU85	2
KU90	2
KU92	2
MH019	2
MH034	2
MH040	2
MH042	2
MH051	2
MH054	2
MH056	2
MH057	2
MH076	2
MH078	2
MH107	2
MH141	2
MH144	2
NA02	2
NA06	2
NA07	2
NA08	2
NA09	2
NA16	2
NA20	2
NA22	2
NA32	2
NA39	2
NY03	2
NY16	2
NY28	2
NY34	2
NY35	2
NY36	2
NY51	2
NY52	2
NY54	2
NY57	2
NY58	2
RY01	2
SH01	2
SH10	2
SH13	2
SH18	2
SH39	2
SH40	2
SH44	2
SH54	2
UE03	2
